index,name,rotation,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
0,Display Battery 1 Bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,129
1,Display Battery 1 Bar,1,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0
2,Display Battery 1 Bar,2,0,96,0,96,0,0,0,0,0,0,0,0,0,0,0,0
3,Display Battery 1 Bar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96
4,Display Battery 2 Bars,0,0,0,0,0,0,0,0,0,0,6,0,6,0,135,0,135
5,Display Battery 2 Bars,1,0,129,0,129,0,135,0,135,0,0,0,0,0,0,0,0
6,Display Battery 2 Bars,2,0,120,0,120,0,24,0,24,0,0,0,0,0,0,0,0
7,Display Battery 2 Bars,3,0,0,0,0,0,0,0,0,0,120,0,120,0,96,0,96
8,Display Battery 3 Bars,0,0,0,0,0,0,24,0,24,0,30,0,30,0,159,0,159
9,Display Battery 3 Bars,1,0,129,0,129,0,135,0,135,0,159,0,159,0,0,0,0
10,Display Battery 3 Bars,2,0,126,0,126,0,30,0,30,0,6,0,6,0,0,0,0
11,Display Battery 3 Bars,3,0,0,0,0,0,126,0,126,0,120,0,120,0,96,0,96
12,Display Battery 4 Bars,0,0,96,0,96,0,120,0,120,0,126,0,126,0,255,0,255
13,Display Battery 4 Bars,1,0,129,0,129,0,135,0,135,0,159,0,159,0,255,0,255
14,Display Battery 4 Bars,2,0,255,0,255,0,159,0,159,0,135,0,135,0,129,0,129
15,Display Battery 4 Bars,3,0,255,0,255,0,126,0,126,0,120,0,120,0,96,0,96
16,Display Reverse,0,0,31,0,63,0,51,0,31,0,15,0,27,0,51,0,51
17,Display Reverse,1,0,0,0,255,0,255,0,108,0,110,0,251,0,177,0,0
18,Display Reverse,2,0,51,0,51,0,54,0,60,0,62,0,51,0,63,0,62
19,Display Reverse,3,0,0,0,99,0,247,0,157,0,141,0,255,0,255,0,0
20,Display Untangle,0,0,51,0,51,0,51,0,51,0,51,0,51,0,63,0,30
21,Display Untangle,1,0,0,0,127,0,255,0,129,0,129,0,255,0,127,0,0
22,Display Untangle,2,0,30,0,63,0,51,0,51,0,51,0,51,0,51,0,51
23,Display Untangle,3,0,0,0,191,0,255,0,96,0,96,0,255,0,191,0,0
24,Display One,0,0,12,0,14,0,14,0,12,0,12,0,12,0,12,0,30
25,Display One,1,0,0,0,0,0,176,0,255,0,255,0,128,0,0,0,0
26,Display One,2,0,30,0,12,0,12,0,12,0,12,0,28,0,28,0,12
27,Display One,3,0,0,0,0,0,64,0,255,0,255,0,67,0,0,0,0
28,Display Two,0,0,30,0,63,0,49,0,24,0,6,0,3,0,63,0,30
29,Display Two,1,0,0,0,51,0,231,0,229,0,233,0,249,0,49,0,0
30,Display Two,2,0,30,0,63,0,48,0,24,0,6,0,35,0,63,0,30
31,Display Two,3,0,0,0,35,0,231,0,229,0,233,0,249,0,51,0,0
32,Display Three,0,0,30,0,51,0,48,0,28,0,60,0,48,0,51,0,30
33,Display Three,1,0,0,0,33,0,225,0,204,0,204,0,255,0,55,0,0
34,Display Three,2,0,30,0,51,0,3,0,15,0,14,0,3,0,51,0,30
35,Display Three,3,0,0,0,59,0,255,0,204,0,204,0,225,0,33,0,0
36,Display Four,0,0,24,0,28,0,26,0,25,0,63,0,63,0,24,0,24
37,Display Four,1,0,0,0,14,0,22,0,38,0,255,0,255,0,6,0,0
38,Display Four,2,0,6,0,6,0,63,0,63,0,38,0,22,0,14,0,6
39,Display Four,3,0,0,0,24,0,255,0,255,0,25,0,26,0,28,0,0
40,Display Five,0,0,30,0,3,0,3,0,31,0,48,0,48,0,51,0,30
41,Display Five,1,0,0,0,57,0,249,0,200,0,200,0,207,0,7,0,0
42,Display Five,2,0,30,0,51,0,3,0,3,0,62,0,48,0,48,0,30
43,Display Five,3,0,0,0,56,0,252,0,196,0,196,0,231,0,39,0,0
44,Display Six,0,0,30,0,35,0,3,0,31,0,51,0,51,0,51,0,30
45,Display Six,1,0,0,0,63,0,255,0,200,0,200,0,207,0,39,0,0
46,Display Six,2,0,30,0,51,0,51,0,51,0,62,0,48,0,49,0,30
47,Display Six,3,0,0,0,57,0,252,0,196,0,196,0,255,0,63,0,0
48,Display Seven,0,0,63,0,51,0,48,0,24,0,12,0,12,0,12,0,12
49,Display Seven,1,0,0,0,96,0,96,0,199,0,207,0,120,0,112,0,0
50,Display Seven,2,0,12,0,12,0,12,0,12,0,6,0,3,0,51,0,63
51,Display Seven,3,0,0,0,131,0,135,0,252,0,248,0,129,0,129,0,0
52,Display Eight,0,0,30,0,33,0,210,0,192,0,210,0,204,0,33,0,30
53,Display Eight,1,0,30,0,33,0,212,0,194,0,194,0,212,0,33,0,30
54,Display Eight,2,0,30,0,33,0,204,0,210,0,192,0,210,0,33,0,30
55,Display Eight,3,0,30,0,33,0,202,0,208,0,208,0,202,0,33,0,30
56,Display Off,0,0,30,0,33,0,194,0,196,0,200,0,208,0,33,0,30
57,Display Off,1,0,30,0,33,0,194,0,196,0,200,0,208,0,33,0,30
58,Display Off,2,0,30,0,33,0,194,0,196,0,200,0,208,0,33,0,30
59,Display Off,3,0,30,0,33,0,208,0,200,0,196,0,194,0,33,0,30
60,Display Startup,0,0,12,0,45,0,204,0,204,0,204,0,192,0,33,0,30
61,Display Startup,1,0,30,0,33,0,128,0,252,0,252,0,128,0,33,0,30
62,Display Startup,2,0,30,0,33,0,192,0,204,0,204,0,204,0,45,0,12
63,Display Startup,3,0,30,0,33,0,64,0,207,0,207,0,64,0,33,0,30
64,Display Custom ?,0,0,0,0,19,0,168,0,160,0,144,0,128,0,19,0,0
65,Display Custom ?,1,0,30,0,33,0,33,0,0,0,16,0,37,0,24,0,0
66,Display Custom ?,2,0,0,0,50,0,64,0,66,0,65,0,69,0,50,0,0
67,Display Custom ?,3,0,0,0,6,0,41,0,2,0,0,0,33,0,33,0,30
68,Display Custom,0,0,28,0,54,0,3,0,3,0,3,0,3,0,54,0,28
69,Display Custom,1,0,0,0,30,0,63,0,225,0,192,0,225,0,33,0,0
70,Display Custom,2,0,14,0,27,0,48,0,48,0,48,0,48,0,27,0,14
71,Display Custom,3,0,0,0,33,0,225,0,192,0,225,0,63,0,30,0,0
72,Display 3rds 1 Bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,129
73,Display 3rds 1 Bar,1,0,129,0,129,0,0,0,0,0,0,0,0,0,0,0,0
74,Display 3rds 1 Bar,2,0,96,0,96,0,0,0,0,0,0,0,0,0,0,0,0
75,Display 3rds 1 Bar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,96
76,Display 3rds 2 Bars,0,0,0,0,0,0,0,0,12,0,12,0,12,0,141,0,141
77,Display 3rds 2 Bars,1,0,129,0,129,0,0,0,143,0,143,0,0,0,0,0,0
78,Display 3rds 2 Bars,2,0,108,0,108,0,12,0,12,0,12,0,0,0,0,0,0
79,Display 3rds 2 Bars,3,0,0,0,0,0,0,0,124,0,124,0,0,0,96,0,96
80,Display 3rds 3 Bars,0,0,96,0,96,0,96,0,108,0,108,0,108,0,237,0,237
81,Display 3rds 3 Bars,1,0,129,0,129,0,0,0,143,0,143,0,0,0,255,0,255
82,Display 3rds 3 Bars,2,0,237,0,237,0,141,0,141,0,141,0,129,0,129,0,129
